Question,Option A,Option B,Option C,Option D,Answer,Topic
What is the chemical symbol for water?,W,H2O,HO,WA,1,Science
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Stephen Hawking,1,Science
What is the process by which plants make their own food called?,Respiration,Photosynthesis,Fermentation,Pollination,1,Science
What is the primary function of the kidneys?,Regulating body temperature,Digesting food,Filtering blood,Pumping oxygen,2,Science
What is the Earth's primary source of energy?,Wind,Water,Sun,Fire,2,Science
Who is credited with inventing the World Wide Web?,Tim Berners-Lee,Bill Gates,Steve Jobs,Larry Page,0,Technology
"What does ""HTTP"" stand for in terms of internet technology?",HyperText Transfer Protocol,High-Tech Transport Protocol,HyperTransfer Text Protocol,HyperTech Telecommunication Protocol,0,Technology
What is the most widely used programming language in the world?,Python,Java,C++,HTML,1,Technology
Who founded the electric car company Tesla?,Elon Musk,Jeff Bezos,Bill Gates,Mark Zuckerberg,0,Technology
"What does ""VPN"" stand for in computer networking?",Virtual Private Network,Visual Processing Node,Virtual Processing Network,Visual Private Node,0,Technology
Who holds the record for the most Olympic gold medals of all time?,Michael Phelps,Usain Bolt,Serena Williams,Roger Federer,0,Sports
In which sport is the Davis Cup awarded?,Tennis,Golf,Soccer,Basketball,0,Sports
Which country won the FIFA World Cup in 2018?,Germany,Brazil,France,Argentina,2,Sports
Who is the only boxer to win titles in eight different weight divisions?,Floyd Mayweather Jr.,Muhammad Ali,Mike Tyson,Manny Pacquiao,0,Sports
What is the highest possible score in a game of ten-pin bowling?,200,250,300,350,2,Sports
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,2,Geography
Which river is the longest in South America?,Amazon River,Nile River,Yangtze River,Mississippi River,0,Geography
What is the largest desert in the world?,Sahara Desert,Gobi Desert,Arabian Desert,Antarctic Desert,0,Geography
Which country is known as the Land of the Rising Sun?,China,Japan,South Korea,India,1,Geography
What is the highest mountain in Africa?,Mount Everest,Mount Kilimanjaro,Mount Fuji,Mount Aconcagua,1,Geography
Who was the first president of the United States?,Thomas Jefferson,George Washington,John Adams,Abraham Lincoln,1,History
In which year did World War II end?,1943,1945,1947,1950,1,History
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Harriet Quimby,Bessie Coleman,Sally Ride,0,History
What was the name of the ship on which Charles Darwin made his famous voyage?,HMS Beagle,SS Great Britain,HMS Victory,Endeavour,0,History
Who was the first human to journey into outer space?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Alan Shepard,0,History
"Who wrote the novel ""Pride and Prejudice""?",Jane Austen,Charlotte Brontë,Emily Dickinson,Agatha Christie,0,Literature
"What is the name of the fictional land in J.R.R. Tolkien's ""The Lord of the Rings"" series?",Westeros,Middle-earth,Narnia,Hogwarts,1,Literature
"Who is the author of the play ""Hamlet""?",William Shakespeare,Christopher Marlowe,Oscar Wilde,George Bernard Shaw,0,Literature
"What is the opening line of Charles Dickens' novel ""A Tale of Two Cities""?","It was the best of times, it was the worst of times",Call me Ishmael,In the beginning God created the heavens and the earth,All happy families are alike,0,Literature
Which novel features the character Atticus Finch and deals with themes of racial injustice in the American South?,To Kill a Mockingbird,The Great Gatsby,1984,The Catcher in the Rye,0,Literature
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Quartz,2,Science
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Quartz,2,Science
What planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,1,Science
What part of the cell contains DNA?,Cytoplasm,Ribosome,Nucleus,Membrane,2,Science
What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,1,Science
What is the boiling point of water at sea level?,90°C,95°C,100°C,110°C,2,Science
What planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,1,Science
